Exchange,Date,Scrip Name,Buy/Sell,Qty,Rate,Net Amount,
NSE,11-11-2015,AMBUJA CEMENT,BUY,10,199.74,-1997.4,
NSE,13-11-2015,VEDANTA LTD,BUY,10,89.04,-890.4,
NSE,13-11-2015,OIL INDIA LTD,BUY,4,372.6,-1490.4,
NSE,24-11-2015,BAJAJ ELECTRICA,BUY,5,226.33,-1131.65,
NSE,01-12-2015,BHARTI AIRTEL,BUY,5,324.72,-1623.6,
NSE,01-12-2015,BAJAJ ELECTRICA,BUY,2,220.85,-441.7,
NSE,28-12-2015,SUN TV LIMITED,SELL,-29,414.57,12022.53,
NSE,28-12-2015,RELIANCE INDUST,SELL,-2,1003.71,2007.42,
NSE,28-12-2015,DLF LIMITED,SELL,-20,113.23,2264.6,
NSE,28-12-2015,CAIRN INDIA LTD,SELL,-15,139.15,2087.25,
NSE,29-12-2015,RELIANCE INFRAS,SELL,-10,501.23,5012.3,
NSE,29-12-2015,RELIANCE INFRAS,SELL,-10,503.47,5034.7,
NSE,29-12-2015,RELIANCE INFRAS,BUY,10,503.88,-5038.8,
NSE,29-12-2015,MOTHERSON SUMI,SELL,-8,296.26,2370.08,
NSE,29-12-2015,MOTHERSON SUMI,SELL,-8,297.48,2379.84,
NSE,29-12-2015,MOTHERSON SUMI,BUY,8,298.92,-2391.36,
NSE,29-12-2015,GOLDMAN NIFTY,SELL,-12,796.7,9560.4,
NSE,04-01-2016,CADILA HEALTHCA,BUY,2,324.67,-649.34,
NSE,04-01-2016,BAJAJ ELECTRICA,BUY,2,209.74,-419.48,
NSE,05-01-2016,SBI,BUY,2,219.34,-438.68,
NSE,05-01-2016,PUNJAB N.BANK,BUY,3,111.25,-333.75,
NSE,05-01-2016,I C I C I BANK,BUY,1,257.83,-257.83,
NSE,06-01-2016,LARSEN AND TOUB,BUY,1,1260.72,-1260.72,
NSE,06-01-2016,INDIAN OIL CORP,SELL,-10,449.54,4495.4,
NSE,12-01-2016,IDBI BANK LTD,BUY,5,74.87,-374.35,
NSE,12-01-2016,BANK OF INDIA,BUY,3,105.07,-315.21,
NSE,12-01-2016,BANK OF BARODA,BUY,2,138.19,-276.38,
NSE,15-01-2016,CADILA HEALTHCA,BUY,2,319.79,-639.58,
NSE,15-01-2016,BAJAJ ELECTRICA,BUY,4,186.88,-747.52,
NSE,18-01-2016,ONGC LIMITED,BUY,1,215.32,-215.32,
NSE,18-01-2016,NATIONAL MINERA,BUY,3,85.88,-257.64,
NSE,18-01-2016,DLF LIMITED,BUY,2,100.35,-200.7,
NSE,18-01-2016,BHARTI AIRTEL,BUY,1,301.25,-301.25,
