Exchange,Date,Scrip Name,Buy/Sell,Qty,Rate,Net Amount,
BSE,01-04-2013,RELIANCE CAPITA,BUY,5,317.48,-1587.4,
NSE,04-04-2013,COAL INDIA LTD,BUY,10,302.96,-3029.6,
NSE,10-04-2013,HERO MOTOCORP L,BUY,1,1473.58,-1473.58,
NSE,01-08-2013,SBI,BUY,3,1687.95,-5063.85,
NSE,16-09-2013,RANBAXY LABORAT,BUY,2,321.25,-642.5,
NSE,30-09-2013,OIL INDIA LTD,BUY,5,447.33,-2236.65,
NSE,17-10-2013,PUNJAB N.BANK,BUY,5,470.94,-2354.7,
NSE,13-11-2013,RELIANCE POWER,BUY,15,70,-1050,
NSE,17-12-2013,INDIAN OIL CORP,BUY,5,198.59,-992.95,
NSE,21-01-2014,SBI,BUY,1,1661.57,-1661.57,
NSE,27-01-2014,TATA MOTORS LTD,BUY,5,355.77,-1778.85,
NSE,28-01-2014,COAL INDIA LTD,BUY,5,251,-1255,
NSE,30-01-2014,BANK OF INDIA,BUY,7,187.88,-1315.16,
NSE,03-02-2014,BHARTI AIRTEL,BUY,3,306.47,-919.41,
NSE,05-03-2014,RELIANCE INFRAS,BUY,3,362.15,-1086.45,
NSE,05-03-2014,RELIANCE CAPITA,BUY,4,312,-1248,
