Exchange,Date,Scrip Name,Buy/Sell,Qty,Rate,Net Amount,
NSE,09-04-2014,RANBAXY LABORAT,BUY,5,472.9,-2364.5,
NSE,10-04-2014,PUNJAB N.BANK,SELL,-5,783.66,3918.3,
NSE,10-04-2014,H P C L,SELL,-10,310.49,3104.9,
NSE,10-04-2014,BAJAJ ELECTRICA,SELL,-10,277.36,2773.6,
NSE,16-04-2014,RELIANCE INFRAS,SELL,-3,514.02,1542.06,
NSE,08-09-2014,ADANI POWER,BUY,50,50.45,-2522.5,
NSE,17-09-2014,SUN TV LIMITED,BUY,5,349.64,-1748.2,
NSE,17-09-2014,JINDAL STEEL &,BUY,5,211.95,-1059.75,
NSE,17-09-2014,GODREJ PROPERTI,BUY,10,236.56,-2365.55,
NSE,25-09-2014,JINDAL STEEL &,BUY,8,182.36,-1458.88,
NSE,01-10-2014,SUZLON ENERGY L,BUY,100,13.32,-1332,
NSE,06-02-2015,PUNJAB N.BANK,BUY,10,170.15,-1701.5,
NSE,06-02-2015,INDIAN OVERSEAS,BUY,30,48.84,-1465.2,
NSE,06-02-2015,COAL INDIA LTD,SELL,-10,364.72,3647.2,
NSE,06-02-2015,BANK OF BARODA,BUY,10,173.06,-1730.6,
NSE,16-02-2015,OIL INDIA LTD,BUY,5,508.38,-2541.9,
NSE,18-02-2015,SESA STERLITE,BUY,8,209.44,-1675.52,
NSE,18-02-2015,CAIRN INDIA LTD,BUY,10,259.04,-2590.4,
NSE,19-02-2015,TATA MOTORS LTD,SELL,-5,582.07,2910.35,
NSE,19-02-2015,SUN TV LIMITED,SELL,-5,427.95,2139.75,
NSE,19-02-2015,INDIAN OIL CORP,SELL,-5,334.57,1672.85,
NSE,23-02-2015,S A I L,BUY,30,74.72,-2241.6,
NSE,11-03-2015,CAIRN INDIA LTD,BUY,5,224.67,-1123.35,
NSE,27-03-2015,PUNJAB N.BANK,SELL,-10,142.83,1428.3,
NSE,27-03-2015,OIL INDIA LTD,SELL,-8,450.78,3606.24,
NSE,27-03-2015,JINDAL STEEL &,SELL,-23,155.52,3576.96,
NSE,27-03-2015,CAIRN INDIA LTD,SELL,-10,215.87,2158.7,
NSE,31-03-2015,JINDAL STEEL &,BUY,15,156.88,-2353.2,
